Direccion,Barrio,Latitud,Longitud,Tipo_vivienda,Dproymes,Localidad,Cod_proyecto,Proyecto
Cl. 131A # 19-49,Calleja,4.71550000086427,-74.0483999997377,No VIS,14,Usaquén,31927,Kioto
Cr. 23 # 103-87,Chicó Navarra,4.69026359969081,-74.0556785162782,No VIS,2,Usaquén,31929,Klee 103
Cl. 95 # 19A-09,Chicó,4.68252613480384,-74.0539025911617,No VIS,35,Chapinero,31935,Akai 95
Cl. 79B # 4-23,Nogal,4.66062739340498,-74.0485736231542,No VIS,10,Chapinero,31937,Serrania de los Nogales Et. II
Cl. 106 # 17-35,San Patricio,4.69209623321308,-74.048118588481,No VIS,8,Usaquén,31938,Torre 106 +
Cr. 49B # 102A-37,Pasadena,4.69087742516442,-74.063295440242,No VIS,38,Suba,31940,Torre de San Simon + ..
Cl. 106 # 19A-89,Chicó Navarra,4.69341062173933,-74.0531279751683,No VIS,7,Usaquén,31942,Vasily 106
Cr. 19A # 106A-30,Chicó Navarra,4.69390000030398,-74.0513000003994,No VIS,13,Usaquén,31943,Edificio Domus
Cl. 145A # 16A-13,Cedritos,4.7272217353828,-74.0430126640376,No VIS,55,Usaquén,31944,Cedro Alto II
Cr. 16 # 143-85,Cedritos,4.72555170701241,-74.0421798844021,No VIS,2,Usaquén,31945,Via al Cedro V
Cl. 125 # 17A-03,Santa Bárbara,4.70380000025034,-74.0459000002593,No VIS,6,Usaquén,31946,Element 125
Cr. 20 # 137-68,Nueva Autopista,4.72350000031292,-74.0478999996558,No VIS,6,Usaquén,31948,Osahar II
Cl. 106 # 21-31,Chicó Navarra,4.69302596953685,-74.0537082247483,No VIS,14,Usaquén,31950,Botanika BioPark
Cr. 54 # 105-08,Puente Largo,4.69412377206616,-74.0632456346855,No VIS,4,Suba,31951,Nesoi
Cr. 10 # 134B-10,Lisboa,4.71467180573077,-74.0342264978754,No VIS,17,Usaquén,31952,Oporto Aptos
Av. Cr. 9 # 117A-21,Santa Bárbara,4.69539999961853,-74.0340999998152,No VIS,8,Usaquén,31954,Ipcua
Cr. 13A # 127-50,La Carolina,4.70547588376267,-74.0397484450222,No VIS,4,Usaquén,31955,Albatross
Cl. 124 # 18-43,Santa Bárbara,4.70331828787228,-74.047173457529,No VIS,4,Usaquén,31956,De Cambil 124
Cl. 87 # 12-55,Cabrera,4.67100078661142,-74.0518400035996,No VIS,8,Chapinero,31957,Trento
Cl. 104 # 58A-22,Puente Largo,4.69189667787916,-74.0652527810688,No VIS,5,Suba,31958,La Palma
Cl. 121 # 45A-31,El Batán,4.70234792289393,-74.0560263010229,No VIS,2,Suba,31959,Protos
Cl. 118 # 21-05,Santa Bárbara,4.69971637687001,-74.0523692165832,No VIS,5,Usaquén,31960,Habitat 118
Cr. 20 # 127A-05,Calleja,4.70793827316006,-74.0505818928742,No VIS,4,Usaquén,31961,Maleiwa Park
Tv. 3 # 84-73,Rosales,4.663200000301,-74.0483999997377,No VIS,20,Chapinero,31962,ULB Gold
Cl. 103 # 14-21,Santa Paula,4.68724049266683,-74.0479424866665,No VIS,25,Usaquén,31963,High Park
Cr. 15 # 136-35,Contador,4.72065965736763,-74.0434912076059,No VIS,12,Usaquén,31964,Maré
Cl. 103A # 47A-14,Santa Margarita,4.69076127228317,-74.0611352267426,No VIS,14,Suba,31965,Balcony 103 +
Cl. 87 # 19-09,Antiguo Country,4.67347512048623,-74.0564734241418,No VIS,9,Chapinero,31966,Virrey 87 /19
Cr. 50 # 106-17,Pasadena,4.69488990543933,-74.060864937009,No VIS,4,Suba,31968,Portal 50.2 ..
Cl. 92 # 5-25,Chicó,4.67180064991555,-74.0428771668802,No VIS,5,Chapinero,31971,Edificio 5-93 +..
Cl. 140 # 22-23,Nueva Autopista,4.72376408198695,-74.0495431455912,No VIS,5,Usaquén,31972,Kavala Stanza
Cr. 17 # 93-40,Chicó,4.67786993522898,-74.0529776332606,No VIS,3,Chapinero,31973,Teide 93
Cl. 103 # 14-34,Santa Paula,4.67228847457477,-74.0553992338745,No VIS,5,Chapinero,31975,Capital Lofts
Cl. 110 # 15-36,San Patricio,4.69401595700136,-74.0448796024966,No VIS,7,Usaquén,31976,Natúa 110
Cr. 51 # 103B-53,Pasadena,4.69202507529801,-74.0620753055124,No VIS,3,Suba,31977,Umbracle Pasadena
Cl. 126 # 46-25,El Batán,4.70641890206396,-74.0560355241497,No VIS,4,Suba,31978,Torrearte
Cl. 97 # 11A-52,Chicó,4.68074511521326,-74.0458065505682,No VIS,5,Chapinero,31979,Magnolio
Cl. 84 # 8-48,Cabrera,4.6656253243432,-74.0490118858744,No VIS,7,Chapinero,31980,Octava ..
Cr. 17A # 102-78,Chicó Norte,4.68816261483396,-74.0497996935095,No VIS,2,Usaquén,31982,Maderos
Cr. 16 # 110-60,San Patricio,4.69461343742283,-74.0455664740406,No VIS,2,Usaquén,31986,Casa Artek
Cr. 10B # 134A-21,Lisboa,4.71487688202353,-74.0360613794718,No VIS,21,Usaquén,31987,Lisboa Real
Cr. 14A # 118-81,Santa Bárbara,4.69790327341094,-74.0416810869249,No VIS,15,Usaquén,31989,Torre Sakai
Cr. 21 # 135-60,Nueva Autopista,4.72071311312976,-74.0489689275398,No VIS,6,Usaquén,31992,Jaén Aptos
Cr. 16 # 95-14,Chicó,4.68143431848447,-74.0502064160001,No VIS,31,Chapinero,31993,16-95 Apartamentos
Cr. 18 # 122-44,Santa Bárbara,4.70187541696602,-74.0466945348691,No VIS,6,Usaquén,31994,Area 122
Cr. 11B # 135C-45,Lisboa,4.71669616480101,-74.0388123093404,No VIS,38,Usaquén,31995,Rincón de Antigua
Cr. 14B # 112-45,Santa Bárbara,4.69519472075292,-74.0427706795223,No VIS,21,Usaquén,31997,Arona
Cr. 9 # 104A-39,Santa Paula,4.68810996701509,-74.0434088895459,No VIS,42,Usaquén,31998,Luminium
Cl. 127 # 7-71,Santa Bárbara,4.70192318760713,-74.0293336831556,No VIS,46,Usaquén,31999,Uptown 127
Cl. 103 # 15-60,Chicó Navarra,4.68842171388815,-74.0479781838835,No VIS,4,Usaquén,32000,103 Senior Living Aptos
Cr. 12 # 113-23,Santa Bárbara,4.69383404562117,-74.0397676028395,No VIS,3,Usaquén,32001,Bosque Alto
Cr. 12 # 116-91,Santa Bárbara,4.69669999927282,-74.0394000001252,No VIS,5,Usaquén,32002,Grazia
Cr. 15A # 118-73,Santa Bárbara,4.69831942322286,-74.0441164250851,No VIS,12,Usaquén,32003,C 118
Tv. 58 # 106-41,Puente Largo,4.69413221007114,-74.0664147640817,No VIS,4,Suba,32004,Ciento Seis 41 ..
Cl. 102 # -53,Pasadena,4.68901172906332,-74.0624893449405,No VIS,95,Suba,32005,Ciien
Cr. 7A # 130-07,Bella Suiza,4.70857020238847,-74.0294199594213,No VIS,46,Usaquén,32007,Reserva de Ginebra
Cr. 18 # 93-15,Chicó,4.67819856761786,-74.0541748896235,No VIS,12,Chapinero,32010,Area 93 +
Cr. 48 # 124-69,El Batán,4.70585976071956,-74.0574201447308,No VIS,9,Suba,32011,Edificio San Pedro
Cr. 14A # 103-92,Santa Paula,4.68818107116652,-74.0459562691079,No VIS,3,Usaquén,32012,City Live 104
Cr. 18A # 137-73,Contador,4.72269064291396,-74.0457708025762,No VIS,18,Usaquén,32013,Mandala 140
Cr. 50A # 122-11,El Batán,4.70392378394673,-74.0595235363551,No VIS,12,Suba,32014,Miyazu 122
Cr. 1 # 78-21 Este,Rosales,4.65791138123578,-74.0475886763032,No VIS,10,Chapinero,32015,Icono 77 - Rosales ..
Cl. 112 # 1-03,Santa Ana Oriental,4.68851030547975,-74.0279725059621,No VIS,2,Usaquén,32016,Edificio Amaya *
Cl. 103 Av. 19,Chico Navarra,4.68863516542903,-74.0519418174228,No VIS,30,Usaquén,32017,Torre Impulsa
Cl. 127A # 18B-62,Calleja Alta,4.70759191285967,-74.0477990055799,No VIS,16,Usaquén,32018,127 Park
Cr. 17A # 106A-28,San Patricio,4.69270832558618,-74.0482898778578,No VIS,2,Usaquén,32019,Quo 106
Cl. 122 # 22-25,Santa Bárbara,4.70222487942561,-74.0528701341604,No VIS,2,Usaquén,32020,Rissani
Tv. 23 # 95-79,Chicó,4.68392742726935,-74.0567384717574,No VIS,64,Chapinero,32021,96 Click
Cl. 93 # 16-15,Chicó,4.67714568640266,-74.0531997658488,VIS,39,Chapinero,32022,Nova Iorque
AutoNorte # 95- 86,Chicó,4.68437489214198,-74.05699842029,No VIS,13,Chapinero,32023,Tokyo + Zero
Cl. 116 # 18B-08,Santa Bárbara,4.69870013309831,-74.048649631216,No VIS,49,Usaquén,32024,Vìú Park 118
Cr. 19 # 127-44,Calleja Alta,4.70630938747148,-74.0484029136085,No VIS,48,Usaquén,32025,Club House 127
Cr. 18 # 137-58,Cedritos,4.72208387764768,-74.0447854899697,No VIS,25,Usaquén,32026,KD Azul
Cr. 8A # 108A-19,Santa Ana Oriental,4.68967965860134,-74.0383893931686,No VIS,37,Usaquén,32027,Torre de la Stazione +
Cr. 7BBis # 123-44,Santa Bárbara,4.69964024199828,-74.0316407333639,No VIS,22,Usaquén,32028,El Roble 124
Cl. 106A # 57-40,Puente Largo,4.69476818038572,-74.0663513451027,No VIS,8,Suba,32029,Edificio Millenium
Cl. 94 # 17-31,Chicó,4.68008226630737,-74.0525008608478,No VIS,19,Chapinero,32030,Benialt 94
Cr. 15 # 135-04,Nuevo Country,4.71796404129956,-74.0420016268597,No VIS,26,Usaquén,32031,Privatto
Cr. 54 # 106-15,Pasadena,4.69493919232385,-74.0635537613832,No VIS,14,Suba,32032,Nativo 106
Cl. 82 Cr 8,Cabrera,4.66425418766968,-74.0501033858001,No VIS,24,Chapinero,32033,Casa Cabrera
